From2092,GPTotTime
1,116.64
2,115.58
3,115.24
4,115.49
5,112.73
6,112.45
7,114.49
8,121.04
9,120.48
10,119.36
11,116.15
12,112.53
13,113.68
14,113.56
15,111.76
16,111.76
17,110.18
18,112.04
19,113.96
20,109.39
21,110.33
22,107.15
23,104.88
24,106.55
25,111.12
26,110.3
27,112.06
28,109.97
29,111.87
30,112.69
31,112.88
32,110.98
33,113.43
34,114.5
35,113.57
36,114.33
37,113.43
38,113.9
39,115.23
40,114.38
41,115.19
42,114.05
43,115.08
44,113.48
45,114.22
46,113.04
47,113.9
48,115.39
49,115.69
50,116.05
51,116.84
52,115.11
53,115.39
54,114.56
55,114.08
56,114.7
57,110.01
58,111.19
59,111.23
60,113.82
61,113.26
62,113.01
63,112.11
64,113.67
65,112.46
66,113.9
67,112.65
68,111.84
69,112.17
70,110.07
71,110.88
72,112.51
73,113.75
74,114.05
75,112.38
76,112.92
77,113.23
78,113.87
79,112.52
80,113.06
81,109.51
82,110.22
83,111.21
84,111.73
85,110.65
86,112.34
87,111.37
88,110.16
89,111.26
90,111.67
91,110.82
92,110.22
93,109.58
94,111.12
95,110.1
96,108.63
97,109.23
98,111.6
99,109.65
100,108.03
101,108.11
102,109.05
103,108.23
104,107.46
105,106.04
106,107.67
107,107.08
108,106.68
109,104.55
110,105.08
111,105.84
112,106.1
113,105.33
114,106.38
115,106.53
116,106.92
117,106.5
118,106.75
119,106.82
120,106.09
121,106.17
122,105.25
123,105.21
124,104.31
125,104.04
126,102.07
127,103.28
128,101.34
129,101.58
130,104.01
131,104.09
132,103.29
133,104.58
134,102.83
135,105.16
136,113.66
137,111.21
138,112.15
139,119.83
140,113.81
141,108.97
142,105.14
143,106.55
144,104.4
145,103.78
146,103.81
147,102.99
148,103.46
149,101.35
150,102.32
151,100.41
152,100.07
153,106.38
154,105.21
155,105.57
156,103.78
157,103.38
158,103.47
159,102.48
160,103.17
161,101.96
162,99
163,100.76
164,99.24
165,98.16
166,101.38
167,102.55
168,100.71
169,99.8
170,100.9
171,99.85
172,98.25
173,97.13
174,106.37
175,104.81
176,103.4
177,101.36
178,101.85
179,102.63
180,107.8
181,106.94
182,108.58
183,105.33
184,106.69
185,103.23
186,105.15
187,107.15
188,108.71
189,105.54
190,106.98
191,104.87
192,107.15
193,100.63
194,100.99
195,101.42
196,103.34
197,103.19
198,103.83
199,103.85
200,102.79
201,104.89
202,105.73
203,106.64
204,105.02
205,106.46
206,107.2
207,104.86
208,106.01
209,103.79
210,104.19
211,99.8
212,97.96
213,98.04
214,101.96
215,99.64
216,97.51
217,101.99
218,100.05
219,101.46
220,102.92
221,102.25
222,104.19
223,105.31
224,103
225,104.11
226,100.93
227,100.97
228,102.26
229,102.84
230,104.17
231,103.77
232,102.26
233,100.98
234,100.44
235,99.4
236,99.6
237,98.67
238,98.11
239,101.98
240,100.91
241,99.6
242,98.25
243,97.2
244,96.67
245,96.27
246,96.4
247,95.05
248,96.38
249,97.52
250,101.45
251,100.77
252,99.42
253,99.65
254,97.96
255,98.22
256,100.63
257,100.7
258,98.78
259,97.42
260,95.26
261,95.37
262,94.01
263,95.44
264,96.36
265,102.59
266,102.09
267,100.41
268,99.8
269,100.98
270,98.75
271,97.31
272,100.18
273,99.5
274,97.81
275,96.82
276,99.16
277,97.41
278,97.09
279,97.32
280,97.45
281,94.25
282,93.88
283,93.94
284,93.41
285,93.67
286,97.83
287,96.18
288,95.35
289,95.82
290,95.03
291,94.46
292,94.11
293,92.87
294,92.19
295,91.38
296,91.54
297,90.41
298,93.99
299,94.09
300,91.62
301,91.2
302,90.24
303,97.49
304,94.67
305,94.51
306,98.72
307,101.28
308,99.66
309,100.76
310,100.3
311,101.22
312,102.19
313,93.9
314,95.65
315,95.21
316,97.81
317,98.52
318,98.52
319,98.76
320,98.19
321,98.13
322,98.27
323,98.53
324,98.72
325,98.45
326,98.73
327,99.02
328,99.32
329,98.27
330,98.34
331,98.66
332,98.97
333,97.46
334,97.73
335,98.03
336,98.38
337,100.11
338,99.45
339,100.14
340,99.78
341,100.55
342,100.16
343,101.32
344,100.96
345,102.04
346,101.62
347,102.42
348,101.51
349,102.73
350,97.08
351,96.82
352,97.37
353,97.71
354,99.25
355,100.48
356,98.46
357,99.62
358,99.58
359,101.14
360,102.29
361,100.17
362,101.47
363,97.61
364,98
365,96.52
366,97.05
367,97.37
368,97.41
369,97.56
370,97.75
371,97.62
372,98.86
373,99.43
374,98.88
375,101.42
376,99.51
377,96.61
378,96.43
379,94.73
380,96.64
381,98.47
382,96.73
383,99.85
384,95.51
385,95.32
386,95.47
387,97.22
388,91.8
389,95.06
390,97.25
391,94.61
392,94.23
393,93.91
394,94.12
395,93.52
396,95.38
397,96.9
398,92.98
399,89.02
400,92
401,91.99
402,93.63
403,92.35
404,93.26
405,93.1
406,93.83
407,93.68
408,92
409,92.96
410,91.02
411,91.55
412,92.7
413,91.91
414,91.64
415,93.65
416,91.38
417,92.41
418,90.56
419,89.2
420,91.41
421,111.92
422,106.51
423,86.03
424,98.02
425,94.6
426,92.66
427,91.93
428,95.96
429,94.38
430,94.32
431,92.78
432,95.19
433,93.95
434,93.08
435,92.25
436,91.18
437,92.67
438,92.63
439,91.53
440,91.45
441,89.37
442,90.44
443,89.29
444,88.14
445,90.31
446,85.16
447,90.26
448,89.21
449,88.05
450,86.65
451,88.3
452,86.7
453,85.44
454,86.49
455,84.27
456,85.02
457,91.82
458,90.04
459,90.75
460,88.77
461,88.94
462,87.42
463,88.74
464,87.85
465,87.86
466,87.32
467,85.8
468,84.81
469,84.42
470,82.76
471,83.41
472,81.36
473,81.04
474,86.36
475,83.79
476,82.56
477,84.26
478,86.06
479,82.3
480,82.67
481,89.31
482,86.57
483,80.83
484,82.27
485,85.64
486,83.6
487,86.99
488,81.61
489,81.86
490,87.94
491,86.98
492,86.28
493,85.16
494,85.96
495,86.4
496,83.78
497,80.64
498,82.7
499,81.3
500,83.59
501,79.28
502,81.01
503,78.81
504,79.28
505,79.37
506,84.66
507,77.46
508,77.03
509,75.77
510,74.76
511,74.04
512,78.61
513,75.4
514,73.43
515,72.07
516,73.47
517,71.56
518,69.78
519,70.99
520,69.88
521,70.52
522,68.41
523,69.09
524,80.97
525,80.77
526,80.49
527,78.95
528,81.21
529,78.13
530,78.11
531,77.32
532,80.15
533,80.72
534,79.56
535,77.7
536,77.93
537,72.63
538,75.95
539,74.34
540,71.6
541,73.37
542,74.9
543,71.73
544,73.6
545,69.36
546,71.85
547,68.28
548,68.9
549,69.7
550,68.65
551,66.71
552,65.41
553,68.73
554,66.21
555,66.34
556,64.03
557,62.1
558,62.28
559,62.61
560,61.4
561,63.37
562,64.81
563,63.62
564,61.36
565,60.03
566,63.07
567,61.86
568,62.47
569,64.2
570,62.75
571,61.37
572,62.09
573,60.65
574,62.84
575,63.5
576,63.19
577,67.55
578,61
579,59.69
580,59.57
581,57.77
582,58.26
583,58.73
584,53.85
585,53.56
586,53.75
587,55.51
588,55.11
589,58.37
590,56.89
591,57.4
592,56.18
593,56.87
594,57.34
595,57.07
596,57.02
597,56.36
598,57.65
599,50.68
600,52.99
601,53.43
602,53.66
603,50.18
604,51.6
605,54.69
606,54.47
607,57.18
608,53.6
609,53.81
610,54.4
611,55.31
612,57.44
613,58.66
614,56.24
615,56.91
616,58.82
617,51.74
618,51.08
619,50.01
620,50.46
621,51.55
622,51.34
623,53.31
624,51.36
625,52.24
626,53.5
627,53.77
628,54.76
629,54.45
630,55.73
631,56.01
632,53.53
633,52.83
634,51.38
635,51.88
636,54.99
637,54.42
638,58.39
639,57.19
640,47.38
641,48.74
642,46.54
643,49.48
644,52.63
645,46.66
646,45.62
647,50.43
648,50.29
649,50.5
650,52.07
651,50.66
652,46.52
653,51.16
654,55.89
655,49.38
656,48.11
657,47.72
658,46.3
659,46.08
660,46.11
661,48.53
662,44.79
663,43.56
664,45.56
665,44
666,44.59
667,42.96
668,43.76
669,41.89
670,49.72
671,52.37
672,46.81
673,48.57
674,46.73
675,44.59
676,44.54
677,44.38
678,45.91
679,45.52
680,43.59
681,44.21
682,44.06
683,42.92
684,44.8
685,44.55
686,49.54
687,46.92
688,51.08
689,49.04
690,49.09
691,45.05
692,45.38
693,47.46
694,45.89
695,46.32
696,45.24
697,43.83
698,42.77
699,44.35
700,43.44
701,44.47
702,44.48
703,44.88
704,43.54
705,44.79
706,44.55
707,44.3
708,44.29
709,43.99
710,43.95
711,43.32
712,43.08
713,44.05
714,43.83
715,42.38
716,40.75
717,43.08
718,44.67
719,43.17
720,42.24
721,43.5
722,41.78
723,43.2
724,41.83
725,41.01
726,41.68
727,39.43
728,42.91
729,41.46
730,40.34
731,40.75
732,40.17
733,38.16
734,37.39
735,38.34
736,46.62
737,45.3
738,45.72
739,43.59
740,42.7
741,46.88
742,46.45
743,40.8
744,41
745,41.86
746,41.54
747,42
748,42.37
749,42.66
750,41.39
751,41.48
752,40.62
753,39.89
754,40.77
755,38.6
756,40.44
757,40.8
758,40.36
759,40.79
760,40.41
761,38.32
762,41.13
763,40.06
764,40.18
765,40.64
766,40.39
767,40.06
768,40
769,40.22
770,43.54
771,43.29
772,44.23
773,41.83
774,43.45
775,42.24
776,40.89
777,41.89
778,39.81
779,38.5
780,40.32
781,38.34
782,38.16
783,37.77
784,39.83
785,38.57
786,38.75
787,39.16
788,38.46
789,38.49
790,37.07
791,36.95
792,36.51
793,36.25
794,40.54
795,42
796,42.06
797,40.28
798,38.95
799,38.19
800,37.85
801,37.23
802,36.97
803,36.92
804,35.84
805,36.31
806,34.71
807,36.39
808,42.26
809,44.55
810,42.41
811,41.42
812,44.3
813,41.69
814,43.61
815,41.9
816,41.16
817,44.08
818,43.76
819,42.33
820,39.98
821,40.27
822,39.22
823,38.76
824,39.55
825,38.8
826,37.38
827,36.72
828,38.96
829,38.01
830,36.63
831,36.02
832,37.98
833,36.76
834,36.67
835,36.06
836,34.31
837,34.44
838,37.8
839,36.23
840,38.58
841,35.22
842,34.53
843,35.8
844,34.5
845,34.39
846,34.97
847,41.73
848,43.31
849,40.03
850,40.26
851,41.38
852,41.78
853,40.41
854,42.43
855,40.96
856,40.71
857,41
858,39.71
859,38.39
860,37.68
861,37.7
862,37.54
863,36.81
864,36.19
865,36.98
866,37.13
867,36.55
868,36.21
869,34.4
870,34.49
871,34.44
872,34.98
873,36.26
874,36.26
875,34.45
876,32.66
877,31.88
878,39.36
879,39.75
880,40.35
881,40.51
882,40.5
883,40.71
884,39.18
885,39.66
886,38.15
887,38.02
888,36.07
889,35.65
890,34.65
891,35.39
892,34.56
893,35.52
894,33.33
895,33.52
896,32.15
897,35.09
898,33.83
899,33.95
900,32.24
901,33.27
902,30.52
903,30.81
904,30.24
905,28.7
906,39.52
907,37.93
908,38.79
909,38.24
910,40.41
911,38.79
912,37.75
913,37.16
914,35.81
915,35.7
916,34.9
917,35.8
918,34.44
919,34.07
920,33.61
921,31.98
922,32.84
923,32.72
924,30.95
925,31.56
926,32.49
927,30.25
928,31.13
929,29.61
930,30.76
931,30.13
932,29.36
933,37.28
934,37.43
935,38.22
936,36.53
937,35.63
938,35.6
939,36.05
940,35.95
941,35.23
942,33.83
943,32.72
944,38.99
945,38.69
946,40.03
947,38.17
948,37.79
949,39.47
950,39.8
951,39.88
952,39.32
953,39.42
954,39.88
955,38.8
956,38.77
957,38.95
958,37.21
959,37.39
960,38.56
961,38.96
962,36.98
963,37.19
964,38.55
965,40.33
966,43.05
967,41.13
968,42.34
969,42.84
970,41.08
971,41.94
972,42.42
973,40.69
974,41.49
975,42.02
976,40.32
977,41.07
978,41.51
979,39.88
980,38.63
981,39.01
982,39.45
983,41.55
984,42.07
985,41.16
986,41.64
987,40.78
988,41.14
989,40.33
990,40.69
991,37.81
992,37.1
993,36.64
994,36.63
995,36.87
996,38.21
997,35.93
998,36.26
999,36.55
1000,36.85
1001,37.21
1002,37.58
1003,35.93
1004,36.27
1005,36.57
1006,36.87
1007,37.2
1008,37.6
1009,36.68
1010,36.66
1011,36.94
1012,36.76
1013,36.73
1014,37.18
1015,39.97
1016,39.12
1017,39.09
1018,38.39
1019,38.72
1020,37.95
1021,38.45
1022,38.77
1023,37.52
1024,37.88
1025,38.26
1026,42.76
1027,39.88
1028,39.16
1029,43.41
1030,46.31
1031,42.6
1032,47.08
1033,49.15
1034,39.6
1035,39.31
1036,38.74
1037,39.68
1038,39.61
1039,39.16
1040,39.84
1041,40.68
1042,41.68
1043,40.02
1044,40.91
1045,42.84
1046,43.89
1047,44.16
1048,42.83
1049,43.32
1050,43.53
1051,42.45
1052,42.88
1053,42.04
1054,43.2
1055,44.44
1056,45.72
1057,42.47
1058,43.35
1059,44.06
1060,41.51
1061,41.74
1062,42.11
1063,41.27
1064,41.61
1065,40.77
1066,40.1
1067,40.42
1068,41.83
1069,41.34
1070,41
1071,42.8
1072,43.39
1073,42.2
1074,43.02
1075,50.43
1076,47.99
1077,44.06
1078,39.94
1079,40.11
1080,39.08
1081,39.5
1082,39.35
1083,38.7
1084,39.35
1085,40.67
1086,40.42
1087,40.44
1088,41.19
1089,42.23
1090,41.74
1091,42.08
1092,42.96
1093,43.13
1094,42.38
1095,36.91
1096,36.64
1097,35.74
1098,36.19
1099,36.41
1100,36
1101,36.57
1102,37.25
1103,37.97
1104,38.82
1105,39.5
1106,39.48
1107,39.19
1108,41.1
1109,39.45
1110,40.56
1111,42.16
1112,39.74
1113,40.51
1114,42.19
1115,39.97
1116,40.23
1117,43.14
1118,39.02
1119,40.2
1120,39.46
1121,35.49
1122,35.48
1123,36.04
1124,36.09
1125,36.48
1126,37.08
1127,37.86
1128,38.31
1129,38.27
1130,39.22
1131,40
1132,39.99
1133,39.55
1134,40.07
1135,39.75
1136,39.09
1137,34.19
1138,34.29
1139,33.63
1140,33.86
1141,34.65
1142,35.09
1143,35.23
1144,34.68
1145,35.87
1146,36.62
1147,37.1
1148,37.14
1149,38.23
1150,38.74
1151,37.61
1152,38.04
1153,38.67
1154,38.14
1155,38.96
1156,38.92
1157,39.26
1158,37.97
1159,37.99
1160,37.13
1161,38.53
1162,37.69
1163,34.43
1164,34.13
1165,35.05
1166,34.36
1167,34.85
1168,34.52
1169,35.04
1170,36.4
1171,34.57
1172,36.62
1173,36.38
1174,35.9
1175,36.43
1176,37.73
1177,37.66
1178,35.9
1179,38.46
1180,37.37
1181,38.05
1182,38.75
1183,38.74
1184,33.54
1185,33.42
1186,34.07
1187,34.15
1188,34.44
1189,32.78
1190,32.63
1191,33.46
1192,33.6
1193,34.71
1194,35.96
1195,34.27
1196,35.11
1197,34.85
1198,34.93
1199,31.92
1200,31.81
1201,32.37
1202,32.75
1203,31.75
1204,32.22
1205,32.68
1206,32.72
1207,32.76
1208,32.75
1209,30.74
1210,30.87
1211,31.74
1212,33.38
1213,34.11
1214,34.61
1215,34.94
1216,33.62
1217,34.39
1218,35.27
1219,32.24
1220,33.84
1221,31.79
1222,33.29
1223,33.74
1224,33
1225,29.57
1226,31.44
1227,30.75
1228,29.89
1229,30.8
1230,29.3
1231,29.75
1232,29.37
1233,28.14
1234,29.21
1235,31.88
1236,31.37
1237,32.26
1238,30.61
1239,32.16
1240,34.66
1241,33.46
1242,33.86
1243,30.26
1244,29.35
1245,29.1
1246,29.37
1247,29.6
1248,29.45
1249,30.1
1250,31.62
1251,30.52
1252,31.54
1253,32.07
1254,30.45
1255,31.13
1256,30.11
1257,31.15
1258,32.9
1259,30.59
1260,33.05
1261,31.5
1262,32.19
1263,34.81
1264,37.89
1265,37.17
1266,36.63
1267,38.41
1268,38.2
1269,35.54
1270,36.04
1271,37.32
1272,38.02
1273,35.62
1274,36.81
1275,37.75
1276,37.55
1277,38.33
1278,39.13
1279,38.14
1280,38.28
1281,37.96
1282,38.46
1283,38.87
1284,38.4
1285,37.92
1286,40.02
1287,35.95
1288,36.99
1289,37.44
1290,36.26
1291,36.55
1292,37.24
1293,37.85
1294,39.13
1295,38.57
1296,38.44
1297,37.49
1298,37.71
1299,38.64
1300,36.84
1301,35.85
1302,33.88
1303,35.32
1304,35.38
1305,33.77
1306,34.79
1307,36.32
1308,37.66
1309,36.16
1310,36.93
1311,37.39
1312,38.23
1313,37
1314,36.56
1315,35.93
1316,35.04
1317,36.55
1318,35.84
1319,36.13
1320,34.95
1321,36.22
1322,36.41
1323,35.51
1324,36.34
1325,36.22
1326,35.22
1327,36.28
1328,35.13
1329,35.86
1330,33.93
1331,33.18
1332,32.11
1333,32.95
1334,33.54
1335,31.69
1336,32.88
1337,33.54
1338,35.81
1339,47.49
1340,46.2
1341,40.92
1342,41.19
1343,39.69
1344,40.67
1345,39.07
1346,38.95
1347,37.53
1348,38.08
1349,37.09
1350,36.3
1351,40.43
1352,38
1353,37.6
1354,36.24
1355,36.11
1356,34.99
1357,34.39
1358,33.24
1359,34.8
1360,34.35
1361,32.88
1362,33.7
1363,32.85
1364,32.41
1365,36.04
1366,33.44
1367,34.59
1368,31.63
1369,30.86
1370,30.7
1371,30.34
1372,29.32
1373,32.49
1374,30.07
1375,30.24
1376,29.93
1377,31
1378,30.95
1379,28.76
1380,28.66
1381,27.89
1382,27.24
1383,26.99
1384,26.16
1385,26.83
1386,26.01
1387,25.52
1388,31.31
1389,30.7
1390,29.68
1391,29.43
1392,28.69
1393,29.18
1394,27.83
1395,27.69
1396,27.2
1397,26.36
1398,25.25
1399,32.36
1400,30.66
1401,32.26
1402,29.39
1403,28.28
1404,29.39
1405,30.12
1406,26.63
1407,25.78
1408,24.48
1409,25.34
1410,24.67
1411,24.95
1412,26.38
1413,23.88
1414,24.96
1415,22.72
1416,21.41
1417,33.62
1418,33.42
1419,26.2
1420,36.47
1421,36.34
1422,36.81
1423,35.76
1424,36.99
1425,35.97
1426,34.41
1427,34.69
1428,34.32
1429,34.75
1430,35.17
1431,33.29
1432,34.27
1433,33.25
1434,34.14
1435,34.17
1436,32.4
1437,32.48
1438,33.04
1439,32.5
1440,31.56
1441,31.26
1442,32.42
1443,30.34
1444,32.25
1445,32.28
1446,30.12
1447,30.9
1448,28.85
1449,28.91
1450,28.26
1451,28.45
1452,25.32
1453,27.37
1454,28.13
1455,34.01
1456,33.02
1457,31.99
1458,32.19
1459,31.45
1460,30.99
1461,33.36
1462,28.49
1463,32.63
1464,31.23
1465,28.38
1466,29
1467,29.74
1468,31.45
1469,30.29
1470,30.45
1471,29.36
1472,29.59
1473,28.31
1474,30.28
1475,28.92
